"Region Code","Region","Commodity description","Estimate","Number of agricultural businesses","Type","Category","Process"
0,"Australia","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","2240777.84",7204.04,"Water source","Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
0,"Australia","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","541492.59",20270.82,"Water source","Water taken from on-farm dams or tanks","Total volume used (ML)"
0,"Australia","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","1406309.91",9391.22,"Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
0,"Australia","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","1157611.44",4855.88,"Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
0,"Australia","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","248698.47",4674.24,"Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
0,"Australia","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","2104030.92",20776.32,"Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
0,"Australia","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","123999.95",1016.85,"Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
0,"Australia","Water source - Town or reticulated mains supply - Total volume used (ML)","43447.05",5290.8,"Water source","Town or reticulated mains supply ","Total volume used (ML)"
0,"Australia","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","4487.89",105.8,"Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
1,"New South Wales","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","368421.52",1428.96,"Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
1,"New South Wales","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","50177.24",4766.83,"Water source"," Water taken from on farm dams or tanks","Total volume used (ML)"
1,"New South Wales","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","310922.6",3150.86,"Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
1,"New South Wales","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","284222.21",1376.6,"Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
1,"New South Wales","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","26700.39",1805.05,"Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
1,"New South Wales","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","662881.76",4798.81,"Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
1,"New South Wales","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","10274.88",129.8,"Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
1,"New South Wales","Water source - Town or reticulated mains supply - Total volume used (ML)","6125.03",858.06,"Water source","Town or reticulated mains supply ","Total volume used (ML)"
1,"New South Wales","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","1660.65",36.79,"Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
2,"Victoria","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","803093.06",2754.9,"Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
2,"Victoria","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","78673.01",5289.97,"Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
2,"Victoria","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","274353.98",2330.78,"Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
2,"Victoria","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","263109.28",1372.53,"Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
2,"Victoria","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","11244.7",972.31,"Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
2,"Victoria","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","265862.39",4087.66,"Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
2,"Victoria","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","67672.14",436.92,"Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
2,"Victoria","Water source - Town or reticulated mains supply - Total volume used (ML)","11810.42",1409.85,"Water source","Town or reticulated mains supply ","Total volume used (ML)"
2,"Victoria","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","1721.47",34.8,"Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
