Station Name,Station Number,Data Owner,Latitude,Longitude,Location
1,70830101,WA - Department of Water and Environmental Regulation,-21.22056227,116.0647218,WA
1 Cooya Pooya,504019,WA - Department of Water and Environmental Regulation,-21.03783439,117.1174434,WA
"10 Mile Brook Dam Water Level Daily Value, South W",PI_357693.1,WA - Water Corporation,-33.963617,115.1248985,WA
12-Apr,70811674,WA - Department of Water and Environmental Regulation,-21.57746278,117.073413,WA
13A,505032,WA - Department of Water and Environmental Regulation,-21.69951101,117.180778,WA
15 MILE @ GRETA STH,403213,"VIC - Department of Environment, Land, Water and Planning",-36.61945775,146.2440721,VIC
15 MILE @ WANGARATTA,403239,"VIC - Department of Environment, Land, Water and Planning",-36.36666667,146.2833333,VIC
15 MILE CK GLENROWAN,403251,"VIC - Department of Environment, Land, Water and Planning",-36.47080718,146.246199,VIC
15Lag01D,80100009,WA - Department of Water and Environmental Regulation,-18.04814699,122.5514248,WA
15Lag01S,80100010,WA - Department of Water and Environmental Regulation,-18.04817135,122.5514245,WA
15Lag02S,80100012,WA - Department of Water and Environmental Regulation,-18.05814718,122.6834365,WA
15Lag03D,80100013,WA - Department of Water and Environmental Regulation,-18.06530668,122.8383307,WA
15Lag04D,80100015,WA - Department of Water and Environmental Regulation,-18.2757981,122.7567802,WA
15Lag06S,120500079,WA - Department of Water and Environmental Regulation,-18.48962937,121.9909899,WA
15Lag09S,120500085,WA - Department of Water and Environmental Regulation,-18.63372324,121.8715666,WA
15Lag11I,120500088,WA - Department of Water and Environmental Regulation,-18.59830804,121.8912247,WA
15Lag11S,120500089,WA - Department of Water and Environmental Regulation,-18.59828299,121.8912066,WA
15Lag13S,120500091,WA - Department of Water and Environmental Regulation,-18.65219269,122.1574098,WA
15Lag14D,120500092,WA - Department of Water and Environmental Regulation,-18.65837084,122.2853783,WA
15Lag15As,120500094,WA - Department of Water and Environmental Regulation,-18.96925594,121.6516124,WA
15Lag15Bd,120500095,WA - Department of Water and Environmental Regulation,-18.98594498,121.6891851,WA
15Lag15Bs,120500096,WA - Department of Water and Environmental Regulation,-18.98592156,121.6891781,WA
15Lag16I,120500097,WA - Department of Water and Environmental Regulation,-18.99461181,121.7787718,WA
15Lag16S,120500098,WA - Department of Water and Environmental Regulation,-18.99458184,121.778781,WA
15Lag17I,120500099,WA - Department of Water and Environmental Regulation,-19.04939999,121.882157,WA
15Lag19I,120500101,WA - Department of Water and Environmental Regulation,-19.07892986,121.6534372,WA
15Lag19S,120500102,WA - Department of Water and Environmental Regulation,-19.07891414,121.6534434,WA
15Lag20I,120500103,WA - Department of Water and Environmental Regulation,-19.13884604,121.7504732,WA
15Lag20S,120500104,WA - Department of Water and Environmental Regulation,-19.13881904,121.7504787,WA
15Lag21D,120500105,WA - Department of Water and Environmental Regulation,-19.26513792,121.5964531,WA
15Lag21S,120500106,WA - Department of Water and Environmental Regulation,-19.26514902,121.5964919,WA
15Lag23Ai,120500107,WA - Department of Water and Environmental Regulation,-19.33715088,122.0476105,WA
15Lag23As,120500108,WA - Department of Water and Environmental Regulation,-19.33717889,122.0475774,WA
15Lag24D,120500111,WA - Department of Water and Environmental Regulation,-19.70099075,121.2977348,WA
15Lag24S,120500112,WA - Department of Water and Environmental Regulation,-19.7009954,121.2977036,WA
16 Mile Waterhole,913010A,"QLD - Department of Regional Development, Manufacturing and Water",-18.876921,139.360487,QLD
163 Clifton Rd,6131318,WA - Department of Water and Environmental Regulation,-32.97808,115.90111,WA
16Lag02I,80100016,WA - Department of Water and Environmental Regulation,-18.05798936,122.6832608,WA
16Lag02S,80100017,WA - Department of Water and Environmental Regulation,-18.05798935,122.6832514,WA
18 Mile Swamp HorseX,144005A,"QLD - Department of Regional Development, Manufacturing and Water",-27.49561971,153.5083641,QLD
1A,70730101,WA - Department of Water and Environmental Regulation,-21.57539044,115.8818527,WA
2 Metre Drain,609062,WA - Department of Water and Environmental Regulation,-33.22073799,117.8089928,WA
2(NEVER) @ GLENNIFER,205014,"NSW - Department of Planning, Industry and Environment – Water",-30.3863,152.8814,NSW
2.5k ds WellngtnFry,A4261200,SA - Department for Environment and Water,-35.35521558,139.3807711,SA
2.6km SE Gawler PO,A5050503,SA - Department for Environment and Water,-34.6175,138.769,SA
2.8 km Ballan channel Water Metering Site,CH610,VIC - Barwon Region Water Corporation (Barwon Water),-37.57697066,144.191965,VIC
200m ds Chowilla Ck,A4261063,SA - Department for Environment and Water,-33.9705,140.8757,SA
21/04 (Site Mb),70912528,WA - Department of Water and Environmental Regulation,-20.68117145,118.2993725,WA
26 Km gauge - Ballan Channel,ME610C,VIC - Barwon Region Water Corporation (Barwon Water),-37.7439403,144.1795251,VIC
284,D24,NSW - Hunter Water,-32.74362461,151.9612514,NSW
2B,70830103,WA - Department of Water and Environmental Regulation,-21.19442632,116.0764467,WA
2k ds WellingtonFry,A4261159,SA - Department for Environment and Water,-35.347868,139.387509,SA
2km N Warringee Pt,A4261155,SA - South Australian Water Corporation (SA Water),-35.676602,139.250269,SA
2km North Polda PS,A0211001,SA - Department for Environment and Water,-33.49184372,135.3383188,SA
2km W Clayton,A4261124,SA - Department for Environment and Water,-35.495993,138.90628,SA
3 Metre Drain,609063,WA - Department of Water and Environmental Regulation,-33.21913409,117.8073576,WA
3 MILE CK WANGARATTA,403249,"VIC - Department of Environment, Land, Water and Planning",-36.33656586,146.2998983,VIC
3 Moon_C Cania Gorge,136107A,"QLD - Department of Regional Development, Manufacturing and Water",-24.72364408,151.0079364,QLD
300m us R Murrray,A4260641,SA - Department for Environment and Water,-34.0656,141.2488,SA
31 Mile Rd,616026,WA - Department of Water and Environmental Regulation,-32.22775864,116.1595331,WA
35 Km gauge - Ballan Channel,ME610B,VIC - Barwon Region Water Corporation (Barwon Water),-37.78346967,144.1979947,VIC
37/04 (Site Mm1),70912271,WA - Department of Water and Environmental Regulation,-20.52349064,118.1589559,WA
3km Ds Swan Reach Fr,A4261164,SA - Department for Environment and Water,-34.589955,139.59851,SA
3km W Pt McLeay,A4261156,SA - South Australian Water Corporation (SA Water),-35.514813,139.064752,SA
4.5km WNW Kangarilla,A5030503,SA - Department for Environment and Water,-35.1393,138.6074,SA
40A,D21,NSW - Hunter Water,-32.79766496,151.743779,NSW
420112 Wingecarribee,420112,"NSW - Department of Planning, Industry and Environment – Water",-34.539617,150.484435,NSW
47 Mile Peg,510013,WA - Department of Water and Environmental Regulation,-32.262943,116.4864828,WA
4km East Yundi,A4260504,SA - Department for Environment and Water,-35.3236,138.6735,SA
4km SE Shoal Point,A5121003,SA - Department for Environment and Water,-34.814434,135.545977,SA
4km W Pomanda Point,A4261158,SA - South Australian Water Corporation (SA Water),-35.429761,139.268689,SA
4L Sub Catchment,614057,WA - Department of Water and Environmental Regulation,-32.8473329,116.1921037,WA
4L Sub Catchment,509225,WA - Department of Water and Environmental Regulation,-32.8504649,116.1882281,WA
5 Mile Hut,912109A,"QLD - Department of Regional Development, Manufacturing and Water",-17.79961111,139.3595556,QLD
56A,505031,WA - Department of Water and Environmental Regulation,-21.7885445,116.740149,WA
59 Mile Peg,505057,WA - Department of Water and Environmental Regulation,-21.3387,117.0813,WA
5km DS Kat Ck Outlet,A4261263,SA - Department for Environment and Water,-34.406627,140.48899,SA
5km NW Poonindie,A5120500,SA - Department for Environment and Water,-34.5704,135.8581,SA
6 Dis.Box Sp06Db,614053,WA - Department of Water and Environmental Regulation,-32.68815895,115.9971628,WA
6.4,509401,WA - Department of Water and Environmental Regulation,-32.72656624,116.1889898,WA
61615117,61615117,WA - Department of Water and Environmental Regulation,-31.76531657,115.8657829,WA
61615134,61615134,WA - Department of Water and Environmental Regulation,-31.6564,115.997,WA
61615147,61615147,WA - Department of Water and Environmental Regulation,-31.8345291,115.7866984,WA
61615150,61615150,WA - Department of Water and Environmental Regulation,-31.61702708,115.8953748,WA
61615151,61615151,WA - Department of Water and Environmental Regulation,-31.61705762,115.8953594,WA
61615152,61615152,WA - Department of Water and Environmental Regulation,-31.4795382,115.8078347,WA
61615153,61615153,WA - Department of Water and Environmental Regulation,-31.47954727,115.8077791,WA
61615154,61615154,WA - Department of Water and Environmental Regulation,-31.47958855,115.8079551,WA
61615156,61615156,WA - Department of Water and Environmental Regulation,-31.81301768,115.9164204,WA
61615157,61615157,WA - Department of Water and Environmental Regulation,-31.53865041,115.7810985,WA
61615158,61615158,WA - Department of Water and Environmental Regulation,-31.53859834,115.7811052,WA
61615159,61615159,WA - Department of Water and Environmental Regulation,-31.59597446,115.8120308,WA
61615160,61615160,WA - Department of Water and Environmental Regulation,-31.59585719,115.8120659,WA
61615161,61615161,WA - Department of Water and Environmental Regulation,-31.53486319,115.9461775,WA
61615162,61615162,WA - Department of Water and Environmental Regulation,-31.70662622,115.8225663,WA
61615163,61615163,WA - Department of Water and Environmental Regulation,-31.89429576,115.807556,WA
61615164,61615164,WA - Department of Water and Environmental Regulation,-31.76984544,115.7837832,WA
61615165,61615165,WA - Department of Water and Environmental Regulation,-31.76988432,115.783811,WA
61615166,61615166,WA - Department of Water and Environmental Regulation,-31.7914476,115.9782573,WA
61615171,61615171,WA - Department of Water and Environmental Regulation,-31.70662529,115.8224166,WA
61615173,61615173,WA - Department of Water and Environmental Regulation,-31.68756349,115.7272024,WA
61615185,61615185,WA - Department of Water and Environmental Regulation,-31.67628694,115.9053239,WA
61615186,61615186,WA - Department of Water and Environmental Regulation,-31.6762586,115.9053646,WA
61621501,61621501,WA - Department of Water and Environmental Regulation,-31.47367058,115.9568899,WA
61715037,61715037,WA - Department of Water and Environmental Regulation,-31.47549269,115.6836473,WA
61715041,61715041,WA - Department of Water and Environmental Regulation,-31.37592589,115.6905736,WA
61715042,61715042,WA - Department of Water and Environmental Regulation,-31.37592317,115.6905282,WA
61715043,61715043,WA - Department of Water and Environmental Regulation,-31.36237578,115.8119203,WA
61715044,61715044,WA - Department of Water and Environmental Regulation,-31.36233402,115.8119993,WA
61715045,61715045,WA - Department of Water and Environmental Regulation,-31.42200864,115.6218648,WA
61715047,61715047,WA - Department of Water and Environmental Regulation,-31.42647112,115.747703,WA
61715048,61715048,WA - Department of Water and Environmental Regulation,-31.42642439,115.7477589,WA
61715049,61715049,WA - Department of Water and Environmental Regulation,-31.43307722,115.8660953,WA
61715050,61715050,WA - Department of Water and Environmental Regulation,-31.43299048,115.8659373,WA
7/04 (Site My 3/04),71012148,WA - Department of Water and Environmental Regulation,-20.30094891,119.2423497,WA
7A,70830016,WA - Department of Water and Environmental Regulation,-21.88817964,117.6312106,WA
7km SE Milang,A4261157,SA - South Australian Water Corporation (SA Water),-35.43726909,139.0398203,SA
7M Diversion Channel,143223A,"QLD - Department of Regional Development, Manufacturing and Water",-27.44527778,152.4322222,QLD
8 MILE CK @ MCCRABS,410178,"NSW - Department of Planning, Industry and Environment – Water",-35.2219,144.7999,NSW
8 MILE CK @ W/NELLA,410177,"NSW - Department of Planning, Industry and Environment – Water",-35.2903,144.8986,NSW
8A,70830110,WA - Department of Water and Environmental Regulation,-21.15743258,116.0853444,WA
8km SW Meningie,A4260569,SA - Department for Environment and Water,-35.7318,139.268,SA
8Mil,600162,NSW - Snowy Hydro Limited,-35.88833333,148.3716667,NSW
9 MILE C U/S GVW DAM,405327,"VIC - Department of Environment, Land, Water and Planning",-36.87688345,145.4746745,VIC
9 MILE CK @ COADS RD,407285,"VIC - Department of Environment, Land, Water and Planning",-35.89600307,143.9956207,VIC
9 MILE SERP.OFFTAKE,407289,"VIC - Department of Environment, Land, Water and Planning",-36.09771026,143.9242234,VIC
9A,70730110,WA - Department of Water and Environmental Regulation,-21.50559623,115.8476365,WA
[MON] Jay Creek,RN011748,"NT - Department of Environment, Parks and Water Security",-23.823848,133.471251,NT
A18,70118118,WA - Department of Water and Environmental Regulation,-29.11737115,115.0027677,WA
A7,70118122,WA - Department of Water and Environmental Regulation,-29.16731353,115.0474768,WA
Abandon Creek,501024,WA - Department of Water and Environmental Regulation,-15.16507877,126.4462451,WA
"Abbotsfield Res, SCADA Probes",GLR1.GLR1TK01,TAS - TasWater,-42.79,147.22,TAS
ABERCROMBIE @ ABER#2,41200209,"NSW - Department of Planning, Industry and Environment – Water",-33.95647873,149.3158868,NSW
ABERCROMBIE @ ABERCR,412028,"NSW - Department of Planning, Industry and Environment – Water",-33.9547,149.3251,NSW
ABERCROMBIE HADLEY 2,412066,"NSW - Department of Planning, Industry and Environment – Water",-34.1139,149.5967,NSW
ABERFELDY @BEARDMORE,225213,"VIC - Department of Environment, Land, Water and Planning",-37.85381845,146.4331719,VIC
ABERFELDY BEARDMORE,225213A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.85387,146.43303,VIC
ABERFELDY BEARDMORES,225213A,VIC - Melbourne Water Corporation (Melbourne Water),-37.8552,146.433,VIC
ABERFELDY TOWN RG,225812A,VIC - Melbourne Water Corporation (Melbourne Water),-37.6967,146.357,VIC
ABERFELDY US LILY CK,225100A,VIC - Melbourne Water Corporation (Melbourne Water),-37.7162,146.392,VIC
ABERFOYLE@ ABERFOYLE,204030,"NSW - Department of Planning, Industry and Environment – Water",-30.2587,152.0094,NSW
Abergowrie College,116006A,"QLD - Department of Regional Development, Manufacturing and Water",-18.49,145.8936111,QLD
Abernethy Rd,616087,WA - Department of Water and Environmental Regulation,-31.94828296,115.9193194,WA
Abney Hill,502062,WA - Department of Water and Environmental Regulation,-15.71937864,128.7487398,WA
Abydos North,504031,WA - Department of Water and Environmental Regulation,-21.31531615,118.9991066,WA
AC 10B,70118242,WA - Department of Water and Environmental Regulation,-28.95634548,115.2055612,WA
AC 11B,70118244,WA - Department of Water and Environmental Regulation,-28.91434112,115.2093554,WA
AC 12A,70118245,WA - Department of Water and Environmental Regulation,-28.9325756,115.2652532,WA
AC 13A,70118247,WA - Department of Water and Environmental Regulation,-28.92623163,115.3077703,WA
AC 14A,70118249,WA - Department of Water and Environmental Regulation,-28.84856732,115.182342,WA
AC 15A,70118251,WA - Department of Water and Environmental Regulation,-28.80731369,115.250226,WA
AC 1A,70118223,WA - Department of Water and Environmental Regulation,-28.9402312,114.9850189,WA
AC 1B,70118224,WA - Department of Water and Environmental Regulation,-28.94026445,114.9850706,WA
AC 2A,70118225,WA - Department of Water and Environmental Regulation,-28.97055021,115.0290186,WA
AC 2B,70118226,WA - Department of Water and Environmental Regulation,-28.97059816,115.0290269,WA
AC 3A,70118227,WA - Department of Water and Environmental Regulation,-29.01698305,115.0954985,WA
AC 3B,70118228,WA - Department of Water and Environmental Regulation,-29.01701966,115.0955348,WA
AC 4A,70118229,WA - Department of Water and Environmental Regulation,-29.05117459,115.1688831,WA
AC 4B,70118230,WA - Department of Water and Environmental Regulation,-29.05125761,115.1688837,WA
AC 5A,70118231,WA - Department of Water and Environmental Regulation,-29.08098181,115.2650258,WA
AC 5B,70118232,WA - Department of Water and Environmental Regulation,-29.08105739,115.2650091,WA
AC 6A,70118233,WA - Department of Water and Environmental Regulation,-29.0004836,115.1816573,WA
AC 6B,70118234,WA - Department of Water and Environmental Regulation,-29.00056033,115.1816591,WA
AC 7A,70118235,WA - Department of Water and Environmental Regulation,-29.00005828,115.2650418,WA
AC 7B,70118236,WA - Department of Water and Environmental Regulation,-29.00000408,115.2650376,WA
AC 8A,70118237,WA - Department of Water and Environmental Regulation,-29.03192708,115.339758,WA
AC 8B,70118238,WA - Department of Water and Environmental Regulation,-29.03192444,115.3398361,WA
AC 9A,70118239,WA - Department of Water and Environmental Regulation,-28.90683972,115.0813403,WA
Acacia C,G8170085,"NT - Department of Environment, Parks and Water Security",-12.78463,131.122372,NT
Acacia Place,616134,WA - Department of Water and Environmental Regulation,-32.04119316,115.9237682,WA
Accom_Ck Wallaces,416320A,"QLD - Department of Regional Development, Manufacturing and Water",-28.808186,151.836363,QLD
ACHERON @ TAGGERTY,405209,"VIC - Department of Environment, Land, Water and Planning",-37.31772866,145.7128865,VIC
Ackland Hill Pluvio,A5040550,SA - Department for Environment and Water,-35.0518,138.6494,SA
Adam Road,611195,WA - Department of Water and Environmental Regulation,-33.35754954,115.6390904,WA
Adam Road,509584,WA - Department of Water and Environmental Regulation,-33.35754954,115.6390904,WA
Adaminaby TBR,300,NSW - Snowy Hydro Limited,-35.99254218,148.7805557,NSW
ADEKATE @ CRESWICK,407238,"VIC - Department of Environment, Land, Water and Planning",-37.44433032,143.9494445,VIC
ADEKATE @ CRESWICK,407238A,VIC - Central Highlands Water,-37.44433032,143.9494445,VIC
