"Data Owner","Cluster","Count","Location","Longitude","Latitude","Stations","Percentage"
"ACT - Environment, Planning and Sustainable Development Directorate","15","30","ACT","149.018863414101","-35.1867817412446",60,"21.90"
"ACT - Icon Water Limited","15","13","ACT","149.071794879855","-35.1736918280502",43," 9.49"
"NSW - Central Coast Council","15","8","NSW","151.649754777956","-33.4236240542151",38," 0.58"
"NSW - Department of Planning, Industry and Environment – Water","15","231","NSW","149.842024974877","-34.2502280226198",261,"16.78"
"NSW - Gosford City Council","15","5","NSW","151.26650275026","-33.3793597528412",35," 0.36"
"NSW - Sydney Water Corporation (Sydney Water)","15","11","NSW","150.965804341688","-33.7066232550679",41," 0.80"
"NSW - Water NSW","15","45","NSW","151.764483127206","-32.8828285533622",75," 3.27"
"ACT - Environment, Planning and Sustainable Development Directorate","17","36","ACT","149.235026824647","-35.6211122096715",66,"26.28"
"ACT - Icon Water Limited","17","58","ACT","149.140749259428","-35.6183285443402",88,"42.34"
"NSW - Department of Planning, Industry and Environment – Water","17","144","NSW","147.1246","-35.0637",174,"10.46"
"NSW - Snowy Hydro Limited","17","60","NSW","148.460492763625","-36.0942398128407",90," 4.36"
"QLD - SunWater","17","1","QLD","149.2289","-35.3372",31," 0.07"
"VIC - Department of Environment, Land, Water and Planning","17","42","VIC","148.306751206079","-36.7898127423064",72," 2.15"
"VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water)","17","2","VIC","149.1986606","-37.37293559",32," 0.10"
"MDB - Murray-Darling Basin Authority","9","2","MDB","139.156","-35.4405",32,"100.00"
"SA - City of Salisbury","9","8","SA","138.615509210347","-34.7514798465679",38," 1.16"
"SA - Department for Energy and Mining","9","3","SA","138.938537613525","-35.0070304873413",33," 0.44"
"SA - Department for Environment and Water","9","242","SA","139.210477764645","-35.0235189466537",272,"35.17"
"SA - Department of Primary Industries and Regions (SA)","9","13","SA","138.789976302678","-35.42843219299",43," 1.89"
"SA - ForestrySA","9","1","SA","138.6970344","-35.18362722",31," 0.15"
"SA - Hills and Fleurieu Landscape Board","9","55","SA","138.669253298988","-35.0817445200615",85," 7.99"
"SA - Murraylands and Riverland Landscape Board","9","48","SA","139.135428692219","-34.6014536998349",78," 6.98"
"SA - South Australian Water Corporation (SA Water)","9","52","SA","139.097765821271","-35.1460242943448",82," 7.56"
"SA - South Eastern Water Conservation and Drainage Board","9","7","SA","139.718224431394","-36.1531443626933",37," 1.02"
"NSW - Department of Planning, Industry and Environment – Water","11","45","NSW","142.391304977791","-33.051681488705",75," 3.27"
"SA - Department for Environment and Water","11","101","SA","141.362648003614","-34.0283893809903",131,"14.68"
"SA - South Australian Water Corporation (SA Water)","11","8","SA","140.868789141418","-34.1847783303741",38," 1.16"
"VIC - Department of Environment, Land, Water and Planning","11","39","VIC","141.973666224108","-34.4600841899996",69," 2.00"
"NSW - Department of Planning, Industry and Environment – Water","16","165","NSW","148.496283961369","-32.8466566139428",195,"11.98"
"VIC - Coliban Region Water Corporation (Coliban Water)","16","2","VIC","144.279156","-36.804869",32," 0.10"
