State,Code,Industry,Supply use,Date,Value
New South Wales,1,"Total Electricity, gas, water and waste services",Supply,2014,10548951
Victoria,2,"Total Electricity, gas, water and waste services",Supply,2014,5166018
Queensland,3,"Total Electricity, gas, water and waste services",Supply,2014,1034632
South Australia,4,"Total Electricity, gas, water and waste services",Supply,2014,129167
Western Australia,5,"Total Electricity, gas, water and waste services",Supply,2014,2056882
Tasmania,6,"Total Electricity, gas, water and waste services",Supply,2014,33402491
Northern Territory,7,"Total Electricity, gas, water and waste services",Supply,2014,1760
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",Supply,2014,3321
Western Australia,5,Total mining,Supply,2014,25254
Northern Territory,7,Total mining,Supply,2014,14352
New South Wales,1,"Total Electricity, gas, water and waste services",Supply,2015,11070325
Victoria,2,"Total Electricity, gas, water and waste services",Supply,2015,5091486
Queensland,3,"Total Electricity, gas, water and waste services",Supply,2015,993227
South Australia,4,"Total Electricity, gas, water and waste services",Supply,2015,132690
Western Australia,5,"Total Electricity, gas, water and waste services",Supply,2015,2150403
Tasmania,6,"Total Electricity, gas, water and waste services",Supply,2015,31441417
Northern Territory,7,"Total Electricity, gas, water and waste services",Supply,2015,1920
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",Supply,2015,3296
Western Australia,5,Total mining,Supply,2015,27711
Northern Territory,7,Total mining,Supply,2015,12672
New South Wales,1,"Total Electricity, gas, water and waste services",Supply,2016,11881330
Victoria,2,"Total Electricity, gas, water and waste services",Supply,2016,4996905
Queensland,3,"Total Electricity, gas, water and waste services",Supply,2016,906802
South Australia,4,"Total Electricity, gas, water and waste services",Supply,2016,138801
Western Australia,5,"Total Electricity, gas, water and waste services",Supply,2016,2112941
Tasmania,6,"Total Electricity, gas, water and waste services",Supply,2016,36032079
Northern Territory,7,"Total Electricity, gas, water and waste services",Supply,2016,917
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",Supply,2016,3392
Western Australia,5,Total mining,Supply,2016,29513
Northern Territory,7,Total mining,Supply,2016,9280
New South Wales,1,"Total Electricity, gas, water and waste services",Supply,2017,10483595
Victoria,2,"Total Electricity, gas, water and waste services",Supply,2017,4883241
Queensland,3,"Total Electricity, gas, water and waste services",Supply,2017,1001967
South Australia,4,"Total Electricity, gas, water and waste services",Supply,2017,141142
Western Australia,5,"Total Electricity, gas, water and waste services",Supply,2017,2202389
Tasmania,6,"Total Electricity, gas, water and waste services",Supply,2017,36704648
Northern Territory,7,"Total Electricity, gas, water and waste services",Supply,2017,1220
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",Supply,2017,3132
Western Australia,5,Total mining,Supply,2017,29242
Northern Territory,7,Total mining,Supply,2017,8545
New South Wales,1,"Total Electricity, gas, water and waste services",Supply,2018,8196762
Victoria,2,"Total Electricity, gas, water and waste services",Supply,2018,4912030
Queensland,3,"Total Electricity, gas, water and waste services",Supply,2018,981374
South Australia,4,"Total Electricity, gas, water and waste services",Supply,2018,110989
Western Australia,5,"Total Electricity, gas, water and waste services",Supply,2018,2187565
Tasmania,6,"Total Electricity, gas, water and waste services",Supply,2018,36754992
Northern Territory,7,"Total Electricity, gas, water and waste services",Supply,2018,1152
Australian Capital Territory,8,"Total Electricity, gas, water and waste services",Supply,2018,2253
Western Australia,5,Total mining,Supply,2018,31294
Northern Territory,7,Total mining,Supply,2018,11283
