Area,Variable,Year,Value
Afghanistan,Agriculture,2017,0.120556899
Afghanistan,Industrial,2017,28.22928878
Afghanistan,Services,2017,57.1486223
Albania,Agriculture,2017,1.220289415
Albania,Industrial,2017,9.331023806
Albania,Services,2017,21.85223857
Algeria,Agriculture,2017,0.618339914
Algeria,Industrial,2017,329.8714798
Algeria,Services,2017,23.06878664
Angola,Agriculture,2017,0.247981848
Angola,Industrial,2017,196.7907091
Angola,Services,2017,167.0308793
Antigua and Barbuda,Agriculture,2017,1.869824499
Antigua and Barbuda,Industrial,2017,88.3892972
Antigua and Barbuda,Services,2017,144.2791448
Argentina,Agriculture,2017,0.118292364
Argentina,Industrial,2017,32.63959504
Argentina,Services,2017,65.05495629
Armenia,Agriculture,2017,0.300616425
Armenia,Industrial,2017,19.71887005
Armenia,Services,2017,10.20602621
Australia,Agriculture,2017,0.469945848
Australia,Industrial,2017,106.2610897
Australia,Services,2017,267.9002194
Austria,Agriculture,2017,3.364716309
Austria,Industrial,2017,33.98988045
Austria,Services,2017,360.9824209
Azerbaijan,Agriculture,2017,0.223641979
Azerbaijan,Industrial,2017,8.12191345
Azerbaijan,Services,2017,44.27965028
Bahamas,Services,2017,290.5811545
Bahrain,Agriculture,2017,0.621394286
Bahrain,Industrial,2017,948.6757614
Bahrain,Services,2017,71.26599796
Bangladesh,Agriculture,2017,0.745527094
Bangladesh,Industrial,2017,76.68480614
Bangladesh,Services,2017,34.02017607
Barbados,Agriculture,2017,0.911930449
Barbados,Industrial,2017,82.53681064
Barbados,Services,2017,182.9075045
Belarus,Agriculture,2017,0.065944778
Belarus,Industrial,2017,35.14188205
Belarus,Services,2017,55.72852848
Belgium,Agriculture,2017,0.79485342
Belgium,Industrial,2017,25.46683152
Belgium,Services,2017,462.6053234
Belize,Agriculture,2017,0.145567212
Belize,Industrial,2017,8.619814833
Belize,Services,2017,100.7811275
Benin,Agriculture,2017,0.326537341
Benin,Industrial,2017,64.62042974
Benin,Services,2017,30.49245736
Bhutan,Agriculture,2017,0.539235505
Bhutan,Industrial,2017,212.2096371
Bhutan,Services,2017,68.98538496
Bolivia (Plurinational State of),Agriculture,2017,0.253041739
Bolivia (Plurinational State of),Industrial,2017,271.4587802
Bolivia (Plurinational State of),Services,2017,134.1179243
Bosnia and Herzegovina,Industrial,2017,45.82621452
Bosnia and Herzegovina,Services,2017,28.98128797
Botswana,Agriculture,2017,0.085727051
Botswana,Industrial,2017,190.8515472
Botswana,Services,2017,92.47001019
Brazil,Agriculture,2017,0.290401779
Brazil,Industrial,2017,30.62953569
Brazil,Services,2017,68.27391958
Brunei Darussalam,Agriculture,2017,3.954019129
Brunei Darussalam,Services,2017,35.26472919
Bulgaria,Agriculture,2017,0.092003904
Bulgaria,Industrial,2017,2.727198563
Bulgaria,Services,2017,38.59972555
Burkina Faso,Agriculture,2017,0.056650576
Burkina Faso,Industrial,2017,146.8388122
Burkina Faso,Services,2017,15.71732361
Burundi,Agriculture,2017,0.052767983
Burundi,Industrial,2017,32.04312391
Burundi,Services,2017,28.49268727
Cabo Verde,Agriculture,2017,0.311356749
Cabo Verde,Industrial,2017,680.2347444
Cabo Verde,Services,2017,690.3222951
Cambodia,Agriculture,2017,0.339720711
Cambodia,Industrial,2017,189.7418656
Cambodia,Services,2017,84.98488925
Cameroon,Agriculture,2017,0.043450843
Cameroon,Industrial,2017,76.58152594
Cameroon,Services,2017,72.61639879
Canada,Agriculture,2017,0.39590758
Canada,Industrial,2017,12.97076728
Canada,Services,2017,228.9062645
Central African Republic,Agriculture,2017,0.117386824
Central African Republic,Industrial,2017,37.16369748
Central African Republic,Services,2017,12.88430021
Chad,Agriculture,2017,0.039689259
Chad,Industrial,2017,21.41510026
Chad,Services,2017,49.23288041
Chile,Agriculture,2017,0.248363934
Chile,Industrial,2017,14.10077269
Chile,Services,2017,120.6444373
China,Agriculture,2017,2.05020545
China,Industrial,2017,38.88231194
China,Services,2017,82.77697876
Colombia,Agriculture,2017,0.423221049
